,EmployeeID,FirstName,LastName,Gender,RoleID,DepartmentID,HireDate,Tenure,ManagerID,LocationID,Salary,TrainingStatus,RetentionStatus,TimeToHire,NewHireFeedbackScore,OnboardingCost,OnboardingCompletionDate,TerminatedDate,TimeToProductivity,FirstMilestoneCompletion
1563,1564,Jason,Harper,Other,18,4,01/04/2024,0.74,48,5,73230,Completed,Yes,109,0,2209,16/04/2024,,170,09/07/2024
1596,1597,Tina,Jackson,Female,6,1,31/01/2025,-0.09,19,5,69670,InProgress,Yes,110,5,1136,15/02/2025,,150,14/05/2025
1636,1637,Kathryn,Morrison,Male,18,8,11/01/2024,0.96,25,2,78850,Completed,Yes,109,0,3768,26/01/2024,,116,05/04/2024
1644,1645,Diane,Reynolds,Female,4,6,11/11/2023,1.13,28,2,73363,Completed,Yes,110,5,1178,26/11/2023,23/12/2023,145,02/03/2024
1645,1646,Isaiah,Martin,Male,11,8,17/10/2023,1.20,48,3,86265,Completed,Yes,110,5,2433,01/11/2023,,131,16/01/2024
1771,1772,Deanna,Nguyen,Female,19,3,11/08/2023,1.38,5,1,80801,Completed,Yes,109,3,1826,26/08/2023,,105,20/10/2023
1772,1773,Jennifer,Murray,Female,7,10,08/02/2024,0.89,4,4,51618,Completed,Yes,110,3,3981,23/02/2024,,47,05/06/2024
1783,1784,David,Lane,Male,20,1,21/05/2023,1.61,6,3,94526,Completed,No,107,3,1620,05/06/2023,,150,08/09/2023
1814,1815,Sandra,Wiggins,Male,14,1,15/05/2023,1.62,25,5,62637,InProgress,Yes,108,4,2029,30/05/2023,,36,11/09/2023
1840,1841,Jeffrey,Henderson,Other,7,4,14/07/2024,0.46,21,2,61764,Completed,Yes,110,1,4768,29/07/2024,,91,10/11/2024
1864,1865,Kevin,Brown,Other,13,2,24/01/2024,0.93,10,5,60759,Completed,Yes,110,3,1717,08/02/2024,,34,19/04/2024
1914,1915,Amy,Ward,Female,6,10,25/11/2023,1.09,23,1,70067,InProgress,Yes,110,0,3086,10/12/2023,,175,05/02/2024
1917,1918,Johnathan,Mitchell,Other,6,3,04/08/2024,0.40,26,2,55913,Completed,Yes,109,2,3201,19/08/2024,06/09/2024,166,11/11/2024
1926,1927,Daniel,Young,Male,12,6,23/11/2024,0.10,3,3,77431,Completed,Yes,110,5,3280,08/12/2024,,102,03/02/2025
1944,1945,Ray,Mccall,Male,7,4,13/05/2024,0.63,14,1,61719,Completed,Yes,109,4,3712,28/05/2024,,169,23/08/2024
1961,1962,Lauren,Hall,Other,17,10,02/07/2023,1.49,19,5,51685,Completed,Yes,110,4,4331,17/07/2023,,32,03/09/2023
2017,2018,Stacie,Oneal,Female,13,8,01/10/2024,0.24,5,5,57906,Completed,No,110,4,1638,16/10/2024,,45,15/12/2024
2062,2063,Benjamin,Nguyen,Other,18,2,05/12/2024,0.06,22,1,79436,Completed,Yes,110,4,1127,20/12/2024,09/02/2025,51,02/03/2025
2063,2064,Martha,Dillon,Female,6,7,15/02/2024,0.87,49,1,55111,Completed,Yes,110,2,2428,01/03/2024,26/03/2024,122,13/06/2024
2074,2075,Brian,Jefferson,Other,14,4,12/10/2024,0.21,48,3,94877,Completed,Yes,110,3,1278,27/10/2024,,134,11/01/2025
2106,2107,Wyatt,Jarvis,Female,20,3,10/08/2023,1.39,42,2,73908,Completed,Yes,109,2,3990,25/08/2023,,143,09/11/2023
2111,2112,Melvin,Carroll,Male,18,7,20/04/2024,0.69,40,2,67940,Completed,Yes,109,5,1324,05/05/2024,,38,08/08/2024
2115,2116,Judith,Hall,Male,1,4,08/04/2024,0.72,40,1,95491,Completed,Yes,109,2,3556,23/04/2024,19/06/2024,32,25/06/2024
2116,2117,Jamie,Russell,Male,1,3,16/11/2023,1.12,37,4,98032,Completed,Yes,110,4,3979,01/12/2023,,132,03/03/2024
2125,2126,Katherine,Mcdaniel,Other,13,1,05/05/2024,0.65,32,3,67514,Completed,Yes,109,0,4797,20/05/2024,,40,05/07/2024
2147,2148,Jeffrey,Bishop,Male,2,3,14/02/2025,-0.13,13,1,93605,Completed,Yes,110,3,2296,01/03/2025,,162,11/05/2025
2193,2194,Christopher,Perry,Female,17,8,18/07/2024,0.45,18,2,64046,Completed,Yes,110,3,1742,02/08/2024,,108,16/10/2024
2219,2220,Natalie,Jenkins,Male,17,1,14/11/2024,0.12,1,4,79729,Completed,Yes,110,1,2420,29/11/2024,,130,21/02/2025
2221,2222,Michael,Marshall,Male,6,5,30/10/2024,0.16,16,5,76204,InProgress,Yes,110,1,2268,14/11/2024,,151,13/01/2025
2227,2228,Joseph,Farrell,Male,19,8,09/08/2024,0.39,4,2,89592,Completed,No,109,3,3837,24/08/2024,,102,20/11/2024
2258,2259,Kurt,Rogers,Male,11,7,05/04/2025,-0.27,42,3,56975,Completed,Yes,108,5,3683,20/04/2025,21/05/2025,92,24/06/2025
2261,2262,Kristen,Mayo,Male,12,8,22/07/2023,1.44,37,4,57080,Completed,Yes,109,3,2617,06/08/2023,,70,31/10/2023
2299,2300,Tracy,Thomas,Male,2,7,02/10/2023,1.24,32,5,52508,Completed,Yes,110,2,2369,17/10/2023,,158,03/12/2023
2309,2310,Brian,Patterson,Male,1,4,24/11/2023,1.10,24,2,94790,InProgress,Yes,110,2,1397,09/12/2023,12/02/2024,53,24/02/2024
2336,2337,Vanessa,Sullivan,Female,8,9,28/11/2024,0.08,23,2,91866,Completed,Yes,110,4,3553,13/12/2024,,31,22/03/2025
2341,2342,Dustin,Harrison,Female,2,1,12/02/2024,0.88,40,1,53126,Completed,Yes,110,4,1530,27/02/2024,,78,26/04/2024
2361,2362,Debra,Smith,Female,14,9,30/07/2024,0.41,6,1,57581,InProgress,Yes,109,5,1459,14/08/2024,,84,12/10/2024
2458,2459,Ashley,Simmons,Male,3,10,06/08/2024,0.39,33,2,52683,InProgress,Yes,109,3,1629,21/08/2024,16/10/2024,125,31/10/2024
2474,2475,Benjamin,Evans,Male,15,4,18/12/2023,1.03,25,2,99990,InProgress,Yes,109,2,2645,02/01/2024,,158,20/03/2024
2500,2501,Sarah,Russell,Male,6,10,12/10/2024,0.21,38,4,52376,Completed,Yes,110,4,3263,27/10/2024,,33,07/02/2025
2501,2502,Ryan,West,Female,1,10,01/06/2023,1.58,10,1,78271,Completed,Yes,107,5,2366,16/06/2023,,119,29/09/2023
2504,2505,Robert,Oconnell,Other,17,7,14/07/2024,0.46,45,4,64291,Completed,Yes,110,1,3439,29/07/2024,,54,05/11/2024
2533,2534,Christina,Myers,Female,20,2,03/08/2023,1.41,28,3,82579,Completed,Yes,109,1,4452,18/08/2023,,128,28/10/2023
2540,2541,Patricia,Martinez,Female,3,1,03/09/2024,0.32,42,1,84802,Completed,Yes,110,3,2862,18/09/2024,04/10/2024,107,26/11/2024
2606,2607,Jeremy,Perry,Other,11,6,02/03/2025,-0.18,43,2,62272,Completed,Yes,110,4,3820,17/03/2025,30/04/2025,117,31/05/2025
2622,2623,Rachel,Carlson,Female,17,10,22/10/2023,1.19,27,3,97249,Completed,Yes,110,1,3304,06/11/2023,,81,03/01/2024
2633,2634,Robert,Byrd,Male,3,3,29/05/2023,1.59,8,3,90892,Completed,Yes,107,3,2415,13/06/2023,,156,12/09/2023
2664,2665,Gregory,Reilly,Female,3,6,28/08/2024,0.33,48,1,63449,Completed,Yes,110,0,2864,12/09/2024,15/10/2024,143,07/11/2024
2671,2672,Michelle,Huber,Male,10,10,21/06/2023,1.52,33,2,79318,Completed,Yes,110,3,1084,06/07/2023,,146,21/09/2023
2794,2795,Jamie,Hess,Male,9,6,28/08/2024,0.33,34,2,59489,Completed,Yes,110,0,4238,12/09/2024,,85,22/12/2024
2800,2801,Marissa,Martin,Male,6,5,10/05/2024,0.64,46,5,68354,Completed,Yes,109,1,3800,25/05/2024,09/07/2024,129,27/07/2024
2881,2882,Tina,Lopez,Other,14,3,06/01/2024,0.98,28,2,76396,Completed,Yes,109,5,4547,21/01/2024,,124,14/03/2024
2922,2923,Alexis,Franklin,Female,3,6,23/09/2024,0.26,33,2,74869,Completed,Yes,110,2,2474,08/10/2024,,73,18/01/2025
2923,2924,Lisa,Kelly,Male,2,1,25/12/2024,0.01,23,5,99433,InProgress,No,109,5,2947,09/01/2025,,70,19/04/2025
2961,2962,Nicole,Mccarthy,Male,16,10,12/08/2024,0.38,20,5,90661,Completed,Yes,109,4,4650,27/08/2024,,50,23/10/2024
2981,2982,Debbie,Harrison,Other,15,8,07/01/2025,-0.03,22,1,68773,Completed,Yes,109,5,3296,22/01/2025,,163,25/03/2025
3045,3046,Frank,Fisher,Female,7,4,24/01/2025,-0.07,46,5,50353,Completed,Yes,110,5,2726,08/02/2025,,46,13/05/2025
3135,3136,James,Owens,Other,10,9,15/06/2023,1.54,27,1,65227,Completed,Yes,107,1,1138,30/06/2023,,89,26/08/2023
3149,3150,Regina,Jones,Other,8,6,13/02/2024,0.87,26,1,58294,Completed,No,110,1,4395,28/02/2024,,109,18/05/2024
3150,3151,Kevin,Miller,Other,2,3,06/06/2023,1.56,33,4,88155,Completed,Yes,107,3,2391,21/06/2023,,102,22/09/2023
3153,3154,Derek,Weaver,Male,20,8,30/05/2024,0.58,7,2,74374,Completed,Yes,108,0,1241,14/06/2024,,106,04/08/2024
3174,3175,Gary,May,Male,12,7,20/11/2024,0.10,13,4,63456,Completed,Yes,110,4,3145,05/12/2024,,108,12/03/2025
3219,3220,Julie,Parks,Female,20,5,06/04/2025,-0.27,22,4,85020,Completed,Yes,108,3,3309,21/04/2025,,139,21/06/2025
3227,3228,William,Vargas,Male,19,3,19/11/2024,0.11,49,1,71942,Completed,Yes,110,5,1584,04/12/2024,,37,23/01/2025
3262,3263,Brittany,Jones,Other,1,9,10/03/2025,-0.20,3,1,58205,InProgress,Yes,110,2,4085,25/03/2025,,164,27/06/2025
3292,3293,Beth,Castro,Male,6,5,27/08/2023,1.34,29,3,60584,Completed,Yes,110,0,4128,11/09/2023,01/11/2023,154,01/12/2023
3297,3298,Michelle,House,Other,7,4,31/05/2023,1.58,2,1,92619,Completed,Yes,107,5,4945,15/06/2023,,100,06/08/2023
3325,3326,Tammy,Garcia,Female,16,2,28/11/2024,0.08,19,3,93248,InProgress,Yes,110,0,2604,13/12/2024,27/01/2025,122,07/02/2025
3331,3332,Gregory,Garcia,Other,16,3,21/08/2024,0.35,25,5,85344,Completed,Yes,110,2,4415,05/09/2024,,109,21/10/2024
3390,3391,Gloria,Hale,Other,7,3,15/08/2024,0.37,25,4,95603,Completed,Yes,109,1,4339,30/08/2024,,55,20/11/2024
3430,3431,Matthew,Johnson,Male,15,8,01/09/2023,1.33,17,2,92822,Completed,No,110,3,3806,16/09/2023,,106,05/11/2023
3455,3456,Dana,Johnson,Female,5,8,10/08/2023,1.39,24,3,82480,Completed,Yes,109,2,2344,25/08/2023,,114,06/11/2023
3490,3491,Melissa,Edwards,Male,17,2,02/03/2025,-0.18,32,5,50270,Completed,Yes,110,2,4368,17/03/2025,,150,23/05/2025
3504,3505,Christina,Johnson,Other,12,7,20/03/2024,0.78,46,1,94357,Completed,Yes,109,2,3126,04/04/2024,04/06/2024,130,27/05/2024
3528,3529,Matthew,Barnett,Male,8,1,10/10/2023,1.22,41,5,63383,Completed,Yes,110,0,2103,25/10/2023,,34,23/01/2024
3529,3530,Debra,Scott,Male,12,2,14/06/2023,1.54,39,2,71188,Completed,Yes,132,3,2345,29/06/2023,,129,29/09/2023
3558,3559,Shannon,Murphy,Male,4,3,21/09/2024,0.27,11,5,59138,Completed,Yes,135,5,4677,06/10/2024,,38,23/11/2024
3559,3560,Kathleen,Turner,Other,11,6,05/06/2024,0.56,3,3,65836,Completed,No,134,3,4475,20/06/2024,,132,08/09/2024
3579,3580,Andrew,Morales,Male,11,5,04/06/2024,0.57,35,2,74805,Completed,Yes,134,1,4684,19/06/2024,,161,19/09/2024
3615,3616,Scott,Bates,Other,8,5,17/04/2024,0.70,9,1,85954,Completed,Yes,134,2,3926,02/05/2024,,163,09/08/2024
3655,3656,Mary,Taylor,Male,9,9,25/06/2023,1.51,41,5,90937,InProgress,Yes,132,1,4169,10/07/2023,,87,17/10/2023
3657,3658,Kristen,Andrews,Female,12,8,13/12/2023,1.04,15,4,73877,InProgress,Yes,135,4,2596,28/12/2023,,36,24/03/2024
3666,3667,Heather,Jackson,Female,5,8,24/12/2024,0.01,37,3,71595,Completed,Yes,135,0,3356,08/01/2025,,50,12/03/2025
3694,3695,Elizabeth,Taylor,Male,2,8,20/03/2024,0.78,50,1,93331,Completed,Yes,135,1,1839,04/04/2024,,57,18/07/2024
3867,3868,Tamara,Simpson,Female,15,4,08/07/2023,1.48,4,3,99501,Completed,Yes,132,1,2271,23/07/2023,,70,13/10/2023
3884,3885,Jessica,Smith,Male,13,6,21/01/2024,0.94,22,3,84171,Completed,Yes,134,0,1915,05/02/2024,,64,10/04/2024
3936,3937,Joshua,Arnold,Female,10,8,04/01/2024,0.98,31,2,63021,Completed,No,135,4,3379,19/01/2024,,121,11/04/2024
4022,4023,Jerry,Cox,Male,2,10,08/03/2024,0.81,47,1,81108,Completed,Yes,135,3,2782,23/03/2024,22/05/2024,122,09/06/2024
4030,4031,Christine,Brown,Male,20,3,24/06/2023,1.52,25,5,65434,Completed,Yes,100,3,1569,09/07/2023,,65,27/09/2023
4032,4033,Jessica,Hunter,Female,14,9,30/11/2024,0.08,17,4,59317,Completed,Yes,100,0,4920,15/12/2024,,103,04/02/2025
4075,4076,John,Torres,Male,16,10,31/10/2023,1.16,29,1,88402,Completed,Yes,100,2,2121,15/11/2023,,42,23/01/2024
4136,4137,Denise,Lambert,Male,17,5,21/01/2025,-0.07,7,4,62448,Completed,Yes,100,3,1076,05/02/2025,,154,05/04/2025
4147,4148,Jesse,Bailey,Female,16,3,13/05/2024,0.63,24,4,73497,Completed,Yes,98,2,3792,28/05/2024,25/06/2024,79,10/09/2024
4152,4153,Lauren,Evans,Other,9,9,11/03/2025,-0.20,21,4,74946,Completed,Yes,98,3,4652,26/03/2025,,82,19/06/2025
4187,4188,Kathleen,Glover,Female,7,1,15/07/2023,1.46,7,2,54040,Completed,Yes,99,1,3815,30/07/2023,,136,30/09/2023
4254,4255,Matthew,Morgan,Male,10,1,25/09/2024,0.26,26,5,88964,Completed,Yes,100,1,1332,10/10/2024,,96,26/11/2024
4327,4328,Lisa,Flores,Other,5,10,08/09/2024,0.30,50,2,53028,Completed,Yes,100,5,4288,23/09/2024,,106,14/12/2024
4372,4373,Joseph,Coleman,Other,8,3,02/11/2023,1.16,1,5,64315,Completed,Yes,100,2,2066,17/11/2023,,176,07/01/2024
4378,4379,Lauren,Williams,Male,18,6,08/02/2025,-0.12,38,3,73943,Completed,No,100,4,1364,23/02/2025,,148,05/06/2025
4412,4413,William,Perry,Other,2,8,18/05/2023,1.62,17,4,73074,Completed,Yes,97,2,1389,02/06/2023,,160,17/07/2023
4421,4422,Sarah,Warren,Male,8,8,26/08/2023,1.34,24,2,62343,Completed,No,100,1,4254,10/09/2023,,146,14/12/2023
4424,4425,Keith,Smith,Other,4,3,27/08/2024,0.34,17,3,95264,Completed,No,100,2,4050,11/09/2024,,46,20/12/2024
4443,4444,Sherry,Lopez,Male,15,3,26/05/2024,0.59,19,5,87702,Completed,Yes,98,2,2246,10/06/2024,,156,04/08/2024
4449,4450,Zachary,Olsen,Female,6,3,02/04/2024,0.74,24,2,97183,Completed,Yes,99,1,1448,17/04/2024,18/06/2024,128,27/07/2024
4458,4459,Jo,Chen,Other,3,2,13/09/2023,1.29,21,4,73379,InProgress,No,100,1,3099,28/09/2023,,99,07/01/2024
4528,4529,Daniel,Gonzalez,Female,19,8,04/07/2024,0.48,26,3,88622,Completed,Yes,100,1,3528,19/07/2024,,143,07/10/2024
4567,4568,Charles,Jenkins,Female,3,10,14/05/2024,0.62,28,2,90973,Completed,Yes,98,5,1001,29/05/2024,25/06/2024,127,02/09/2024
4579,4580,Brian,May,Female,9,6,03/07/2023,1.49,4,5,87446,InProgress,Yes,100,2,2432,18/07/2023,,123,28/09/2023
4681,4682,Karen,Larson,Female,12,9,12/04/2024,0.71,36,1,88792,Completed,Yes,99,2,2565,27/04/2024,,83,30/06/2024
4697,4698,Joshua,Powers,Male,11,10,04/02/2024,0.90,36,3,92012,Completed,Yes,100,5,2421,19/02/2024,,103,11/05/2024
4721,4722,Alexandra,Hawkins,Other,14,9,25/10/2024,0.18,7,5,74563,Completed,No,100,5,3619,09/11/2024,,72,20/01/2025
4734,4735,Taylor,Hernandez,Male,15,4,29/12/2024,0.00,10,5,57815,InProgress,Yes,99,5,2234,13/01/2025,,43,26/03/2025
4784,4785,Jo,Armstrong,Other,2,6,06/08/2023,1.40,17,5,98187,InProgress,Yes,99,3,4147,21/08/2023,,141,26/10/2023
4797,4798,Tammy,Cole,Male,16,9,07/05/2024,0.64,35,2,87451,Completed,Yes,99,2,4213,22/05/2024,,163,10/08/2024
4845,4846,Pamela,Henry,Other,3,3,09/10/2023,1.22,10,3,80294,Completed,No,100,3,3338,24/10/2023,,99,03/01/2024
4851,4852,Jacob,Carr,Female,6,9,16/01/2025,-0.05,21,2,59921,Completed,Yes,100,5,2573,31/01/2025,23/03/2025,83,25/04/2025
4936,4937,Gary,Arnold,Female,13,6,13/02/2025,-0.13,37,3,83764,Completed,Yes,100,5,3730,28/02/2025,,32,30/04/2025
